last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Harper, Bryce,547180,2021,85,52,.338,.389,-0.051,.662,.899,-0.237,.474,.555,-0.081
Buxton, Byron,621439,2021,59,41,.382,.374,0.008,.818,.877,-0.059,.521,.509,0.012
Trout, Mike,545361,2021,71,36,.393,.372,0.021,.804,.804,0.000,.540,.501,0.039
Devers, Rafael,646240,2021,90,59,.269,.358,-0.089,.551,.819,-0.268,.383,.500,-0.117
Cruz, Nelson,443558,2021,69,50,.323,.360,-0.037,.694,.854,-0.160,.438,.497,-0.059
Soto, Juan,665742,2021,61,44,.300,.376,-0.076,.460,.766,-0.306,.371,.495,-0.124
Acuña Jr., Ronald,660670,2021,82,60,.371,.387,-0.016,.786,.793,-0.007,.510,.492,0.018
Castellanos, Nick,592206,2021,83,65,.304,.374,-0.070,.646,.759,-0.113,.416,.476,-0.060
Kelly, Carson,608348,2021,62,35,.318,.306,0.012,.705,.728,-0.023,.495,.474,0.021
Longoria, Evan,446334,2021,64,41,.291,.326,-0.035,.582,.714,-0.132,.407,.459,-0.052
Olson, Matt,621566,2021,79,58,.319,.322,-0.003,.638,.731,-0.093,.434,.456,-0.022
Naquin, Tyler,571980,2021,66,42,.263,.312,-0.049,.596,.715,-0.119,.398,.446,-0.048
Freeman, Freddie,518692,2021,90,61,.205,.304,-0.099,.438,.651,-0.213,.340,.440,-0.100
Narváez, Omar,553882,2021,65,48,.389,.373,0.016,.574,.667,-0.093,.453,.437,0.016
Tatis Jr., Fernando,665487,2021,61,36,.236,.289,-0.053,.636,.710,-0.074,.398,.436,-0.038
Ohtani, Shohei,660271,2021,81,53,.286,.310,-0.024,.662,.712,-0.050,.413,.433,-0.020
Lowrie, Jed,476704,2021,83,62,.293,.348,-0.055,.493,.649,-0.156,.371,.432,-0.061
Judge, Aaron,592450,2021,82,48,.246,.331,-0.085,.449,.580,-0.131,.359,.432,-0.073
Smith, Will,669257,2021,62,37,.229,.294,-0.065,.458,.628,-0.170,.366,.431,-0.065
Guerrero Jr., Vladimir,665489,2021,89,58,.338,.326,0.012,.563,.550,0.013,.449,.429,0.020
Santana, Carlos,467793,2021,86,58,.229,.282,-0.053,.457,.637,-0.180,.353,.425,-0.072
Martinez, J.D.,502110,2021,92,63,.370,.317,0.053,.753,.661,0.092,.502,.424,0.078
Muncy, Max,571970,2021,85,50,.262,.305,-0.043,.462,.535,-0.073,.392,.423,-0.031
Altuve, Jose,514888,2021,50,39,.318,.354,-0.036,.455,.598,-0.143,.363,.420,-0.057
Mercedes, Yermín,606213,2021,76,59,.414,.328,0.086,.657,.632,0.025,.476,.417,0.059
Alonso, Pete,624413,2021,70,42,.267,.292,-0.025,.550,.636,-0.086,.386,.416,-0.030
Seager, Corey,608369,2021,93,66,.268,.327,-0.059,.476,.581,-0.105,.357,.415,-0.058
Realmuto, J.T.,592663,2021,74,46,.306,.319,-0.013,.500,.560,-0.060,.398,.413,-0.015
Meadows, Austin,640457,2021,90,53,.233,.276,-0.043,.466,.597,-0.131,.364,.413,-0.049
Simmons, Andrelton,592743,2021,38,25,.355,.352,0.003,.452,.439,0.013,.414,.407,0.007
Dickerson, Alex,543105,2021,60,43,.236,.336,-0.100,.418,.572,-0.154,.315,.407,-0.092
Smith, Dominic,642086,2021,59,42,.232,.336,-0.104,.375,.656,-0.281,.271,.407,-0.136
Ramírez, José,608070,2021,84,66,.247,.330,-0.083,.466,.590,-0.124,.333,.406,-0.073
Molina, Yadier,425877,2021,68,49,.339,.308,0.031,.661,.675,-0.014,.438,.405,0.033
Votto, Joey,458015,2021,91,65,.217,.292,-0.075,.398,.618,-0.220,.300,.402,-0.102
Winker, Jesse,608385,2021,69,49,.381,.299,0.082,.667,.603,0.064,.468,.401,0.067
Smith, Pavin,656976,2021,70,52,.288,.325,-0.037,.485,.592,-0.107,.350,.401,-0.051
Reyes, Franmil,614177,2021,75,48,.286,.297,-0.011,.614,.660,-0.046,.391,.401,-0.010
Verdugo, Alex,657077,2021,89,69,.325,.360,-0.035,.538,.589,-0.051,.383,.400,-0.017
France, Ty,664034,2021,93,58,.316,.321,-0.005,.532,.544,-0.012,.406,.400,0.006
Reynolds, Bryan,668804,2021,92,60,.304,.303,0.001,.456,.529,-0.073,.379,.399,-0.020
García, Avisaíl,541645,2021,77,48,.206,.302,-0.096,.368,.601,-0.233,.283,.399,-0.116
Arraez, Luis,650333,2021,78,57,.303,.334,-0.031,.379,.502,-0.123,.349,.398,-0.049
Chisholm Jr., Jazz,665862,2021,74,40,.270,.264,0.006,.540,.608,-0.068,.386,.398,-0.012
Cron, C.J.,543068,2021,73,47,.266,.301,-0.035,.469,.573,-0.104,.361,.398,-0.037
Marte, Starling,516782,2021,69,44,.316,.322,-0.006,.491,.511,-0.020,.398,.397,0.001
Dalbec, Bobby,666915,2021,63,37,.241,.306,-0.065,.345,.579,-0.234,.287,.392,-0.105
Taylor, Chris,621035,2021,71,38,.224,.272,-0.048,.431,.517,-0.086,.355,.392,-0.037
Pérez, Roberto,547379,2021,56,27,.178,.260,-0.082,.400,.504,-0.104,.332,.392,-0.060
Brown, Seth,664913,2021,39,25,.257,.293,-0.036,.543,.562,-0.019,.375,.391,-0.016
La Stella, Tommy,600303,2021,58,47,.245,.320,-0.075,.358,.540,-0.182,.298,.391,-0.093
Díaz, Aledmys,649557,2021,55,37,.245,.326,-0.081,.388,.563,-0.175,.319,.390,-0.071
Gurriel, Yuli,493329,2021,91,64,.333,.318,0.015,.560,.541,0.019,.437,.389,0.048
Machado, Manny,592518,2021,99,65,.241,.287,-0.046,.373,.552,-0.179,.323,.388,-0.065
Turner, Justin,457759,2021,87,58,.360,.289,0.071,.653,.584,0.069,.460,.385,0.075
