last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Trout, Mike,545361,2018,608,352,.312,.294,0.018,.628,.599,0.029,.446,.435,0.011
Betts, Mookie,605141,2018,614,434,.346,.307,0.039,.640,.602,0.038,.449,.429,0.020
Martinez, J.D.,502110,2018,649,430,.330,.307,0.023,.629,.619,0.010,.427,.418,0.009
Yelich, Christian,592885,2018,651,441,.326,.316,0.010,.598,.566,0.032,.422,.414,0.008
Pearce, Steve,456665,2018,251,176,.284,.285,-0.001,.512,.535,-0.023,.382,.396,-0.014
Muncy, Max,571970,2018,481,266,.263,.255,0.008,.582,.536,0.046,.407,.395,0.012
Cruz, Nelson,443558,2018,591,400,.256,.281,-0.025,.509,.559,-0.050,.361,.394,-0.033
Judge, Aaron,592450,2018,498,266,.278,.273,0.005,.528,.526,0.002,.391,.393,-0.002
Votto, Joey,458015,2018,623,405,.284,.286,-0.002,.419,.476,-0.057,.370,.392,-0.022
Harper, Bryce,547180,2018,695,390,.249,.261,-0.012,.496,.514,-0.018,.376,.389,-0.013
Carpenter, Matt,572761,2018,677,411,.257,.265,-0.008,.523,.538,-0.015,.375,.388,-0.013
Freeman, Freddie,518692,2018,707,492,.309,.296,0.013,.505,.529,-0.024,.378,.386,-0.008
Goldschmidt, Paul,502671,2018,690,421,.290,.271,0.019,.533,.532,0.001,.389,.384,0.005
Ohtani, Shohei,660271,2018,367,226,.285,.273,0.012,.564,.545,0.019,.389,.384,0.005
Turner, Justin,457759,2018,426,313,.312,.292,0.020,.518,.486,0.032,.396,.381,0.015
Rendon, Anthony,543685,2018,597,455,.308,.298,0.010,.535,.528,0.007,.383,.381,0.002
Pham, Tommy,502054,2018,570,357,.275,.287,-0.012,.464,.503,-0.039,.359,.380,-0.021
Martínez, José,500874,2018,590,435,.305,.301,0.004,.457,.511,-0.054,.356,.378,-0.022
Acuña Jr., Ronald,660670,2018,487,313,.293,.273,0.020,.552,.531,0.021,.388,.376,0.012
Canó, Robinson,429664,2018,348,265,.303,.304,-0.001,.471,.494,-0.023,.364,.375,-0.011
Castellanos, Nick,592206,2018,678,472,.298,.296,0.002,.500,.525,-0.025,.363,.375,-0.012
Suárez, Eugenio,553993,2018,606,391,.283,.275,0.008,.526,.514,0.012,.376,.373,0.003
Lindor, Francisco,596019,2018,745,560,.277,.286,-0.009,.519,.509,0.010,.368,.373,-0.005
Morales, Kendrys,434778,2018,471,323,.249,.269,-0.020,.438,.517,-0.079,.329,.373,-0.044
Davis, Khris,501981,2018,654,408,.247,.245,0.002,.549,.561,-0.012,.365,.373,-0.008
Gallo, Joey,608336,2018,577,293,.206,.233,-0.027,.498,.548,-0.050,.343,.373,-0.030
Machado, Manny,592518,2018,709,533,.297,.287,0.010,.538,.515,0.023,.377,.372,0.005
Bregman, Alex,608324,2018,705,512,.286,.270,0.016,.532,.466,0.066,.396,.371,0.025
Haniger, Mitch,571745,2018,683,455,.285,.276,0.009,.493,.495,-0.002,.367,.369,-0.002
Zimmerman, Ryan,475582,2018,323,235,.264,.267,-0.003,.486,.506,-0.020,.351,.369,-0.018
Hicks, Aaron,543305,2018,581,377,.248,.259,-0.011,.467,.460,0.007,.360,.368,-0.008
Braun, Ryan,460075,2018,447,326,.254,.291,-0.037,.469,.510,-0.041,.328,.366,-0.038
Soto, Juan,665742,2018,494,316,.292,.257,0.035,.517,.469,0.048,.392,.365,0.027
Winker, Jesse,608385,2018,334,237,.299,.273,0.026,.431,.447,-0.016,.366,.363,0.003
Rizzo, Anthony,519203,2018,665,495,.283,.286,-0.003,.470,.464,0.006,.359,.363,-0.004
Pinder, Chad,640461,2018,333,212,.258,.267,-0.009,.436,.506,-0.070,.333,.363,-0.030
Bogaerts, Xander,593428,2018,580,417,.288,.276,0.012,.522,.491,0.031,.373,.362,0.011
Choo, Shin-Soo,425783,2018,665,407,.264,.249,0.015,.434,.461,-0.027,.355,.361,-0.006
McCutchen, Andrew,457705,2018,682,431,.255,.260,-0.005,.424,.446,-0.022,.347,.361,-0.014
Ramírez, José,608070,2018,698,504,.270,.256,0.014,.552,.460,0.092,.391,.360,0.031
Olson, Matt,621566,2018,660,419,.247,.252,-0.005,.453,.501,-0.048,.340,.360,-0.020
Freese, David,501896,2018,312,211,.296,.281,0.015,.471,.476,-0.005,.357,.358,-0.001
Ozuna, Marcell,542303,2018,628,477,.280,.284,-0.004,.433,.495,-0.062,.326,.357,-0.031
Abreu, José,547989,2018,553,396,.265,.277,-0.012,.473,.490,-0.017,.337,.357,-0.020
Story, Trevor,596115,2018,656,434,.291,.265,0.026,.567,.509,0.058,.384,.356,0.028
Aguilar, Jesús,542583,2018,566,359,.274,.253,0.021,.539,.486,0.053,.374,.356,0.018
Piscotty, Stephen,572039,2018,605,437,.267,.266,0.001,.491,.488,0.003,.351,.355,-0.004
Benintendi, Andrew,643217,2018,661,482,.290,.282,0.008,.465,.450,0.015,.357,.354,0.003
Moreland, Mitch,519048,2018,459,307,.245,.249,-0.004,.433,.483,-0.050,.325,.354,-0.029
Altuve, Jose,514888,2018,599,459,.316,.287,0.029,.451,.452,-0.001,.363,.353,0.010
Upton, Justin,457708,2018,613,363,.257,.249,0.008,.463,.463,0.000,.348,.353,-0.005
