last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Escobar, Alcides,444876,2016,682,556,.261,.239,0.022,.350,.316,0.034,.278,.258,0.020
Bourjos, Peter,488721,2016,383,271,.251,.223,0.028,.389,.314,0.075,.291,.257,0.034
Galvis, Freddy,520471,2016,624,460,.241,.224,0.017,.399,.336,0.063,.284,.257,0.027
Gomes, Yan,543228,2016,264,184,.167,.206,-0.039,.327,.360,-0.033,.225,.256,-0.031
Ramirez, Alexei,493351,2016,506,418,.241,.240,0.001,.333,.300,0.033,.264,.253,0.011
Wilson, Bobby,435064,2016,251,175,.237,.215,0.022,.355,.316,0.039,.270,.253,0.017
Hamilton, Billy,571740,2016,460,330,.260,.221,0.039,.343,.265,0.078,.294,.251,0.043
Marte, Ketel,606466,2016,466,362,.259,.240,0.019,.323,.293,0.030,.266,.251,0.015
Pèrez, Carlos,542208,2016,291,229,.209,.219,-0.010,.325,.322,0.003,.246,.251,-0.005
Buxton, Byron,621439,2016,331,187,.225,.184,0.041,.430,.301,0.129,.304,.249,0.055
Aybar, Erick,430947,2016,459,352,.243,.216,0.027,.320,.269,0.051,.271,.245,0.026
Revere, Ben,519184,2016,375,320,.217,.218,-0.001,.300,.286,0.014,.246,.244,0.002
Navarro, Dioner,425900,2016,334,238,.207,.196,0.011,.322,.277,0.045,.258,.241,0.017
Burns, Billy,542993,2016,332,279,.235,.225,0.010,.296,.261,0.035,.247,.234,0.013
Strange-Gordon, Dee,543829,2016,346,273,.268,.201,0.067,.335,.246,0.089,.279,.219,0.060
